Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_523.jpg,0,0,0,-0.01395322,118.1252,132.0249,359.3629,164.258,0.03842534
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_563.jpg,0,0,0,-0.01566811,118.1253,132.0249,359.397,164.258,0.04124833
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_603.jpg,0,0,0.09701713,-0.017172,118.1253,132.0249,359.4347,164.258,0.04352265
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_644.jpg,0,0,0.2189467,-0.01845947,118.1253,132.0249,359.4754,164.2579,0.04525958
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_685.jpg,0,0,0.3423043,-0.01952833,118.1253,132.0249,359.5186,164.2579,0.04647505
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_726.jpg,0,0,0.4638851,-0.0203797,118.1253,132.0249,359.5639,164.2579,0.04718791
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_767.jpg,0,0,0.5877018,-0.02101538,118.1253,132.0249,359.6107,164.2579,0.0474213
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_807.jpg,-1.608949,0,0.7068408,-0.02144031,118.1254,132.0249,359.6586,164.2578,0.04720125
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_848.jpg,-3.434616,0,0.828552,-0.02166096,118.1254,132.0249,359.7071,164.2578,0.04655517
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_888.jpg,-5.238703,0,0.9488246,-0.02168479,118.1254,132.0249,359.7558,164.2578,0.04551497
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_928.jpg,-7.057116,0,1,-0.02152173,118.1254,132.0249,359.8041,164.2578,0.0441132
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_970.jpg,-8.933658,0,1,-0.02118131,118.1254,132.0249,359.8518,164.2578,0.04238525
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_010.jpg,-10.73486,0,1,-0.02067504,118.1254,132.0248,359.8985,164.2577,0.04036617
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_051.jpg,-12.60812,0,1,-0.02001589,118.1254,132.0249,359.9437,164.2577,0.03809255
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_092.jpg,-14.41966,0,1,-0.01921663,118.1255,132.0249,359.9872,164.2577,0.03560024
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_133.jpg,-15,0,1,-0.01829125,118.1255,132.0248,0.04856272,164.2577,0.03153061
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_173.jpg,-15,0,1,-0.01725401,118.1255,132.0248,0.086523,164.2578,0.02864885
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_213.jpg,-15,0,1,-0.01611945,118.1255,132.0248,0.1218729,164.2578,0.02567209
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_255.jpg,-15,0,1,-0.01426691,118.1255,132.0248,0.1544346,164.2578,0.02263413
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_295.jpg,-15,0,1,-0.01295345,118.1255,132.0248,0.1840635,164.2578,0.01956633
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_335.jpg,-15,0,1,-0.01159351,118.1255,132.0248,0.2106463,164.2578,0.01649889
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_377.jpg,-15,0,1,-0.01020231,118.1256,132.0248,0.2341032,164.2578,0.01346039
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_418.jpg,-15,0,1,0,118.1256,132.0248,0.2543842,164.2579,0.01047721
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_459.jpg,-15,0,1,0,118.1256,132.0248,0.2714695,164.2579,0.007573938
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_500.jpg,-15,0,1,0,118.1256,132.0248,0.2853684,164.2579,0.00477256
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_540.jpg,-15,0,1,0,118.1256,132.0248,0.2961169,164.2579,0.002093334
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_580.jpg,-15,0,1,0,118.1256,132.0248,0.3037772,164.2579,-0.000446223
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_621.jpg,-15,0,1,0,118.1256,132.0248,0.308434,164.2579,-0.002830994
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_662.jpg,-15,0,1,0,118.1256,132.0248,0.3101951,164.2579,-0.00504769
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_702.jpg,-15,0,1,0,118.1256,132.0248,0.3091872,164.258,359.9929
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_743.jpg,-15,0,1,0,118.1256,132.0248,0.3055553,164.258,359.9911
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_784.jpg,-15,0,1,0,118.1256,132.0248,0.2994596,164.258,359.9894
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_825.jpg,-15,0,1,0,118.1256,132.0248,0.2910732,164.258,359.9879
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_866.jpg,-15,0,1,0,118.1256,132.0248,0.2805817,164.258,359.9867
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_907.jpg,-15,0,1,0,118.1256,132.0248,0.2681789,164.2579,359.9856
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_948.jpg,0,0,0,0,118.1256,132.0248,0.2540661,164.2579,359.9847
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_37_989.jpg,0,0,0,0,118.1256,132.0248,0.2384501,164.2579,359.9841
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_029.jpg,0,0,0,0,118.1256,132.0248,0.2215382,164.2579,359.9836
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_071.jpg,0,0,0,0,118.1255,132.0248,0.2035419,164.2579,359.9833
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_111.jpg,0,0.1086421,0,0.01176627,118.1254,132.0248,0.1873858,164.2574,359.9832
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_152.jpg,0,0.2310163,0,0.01156656,118.125,132.0249,0.1776038,164.1751,359.9835
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_193.jpg,0,0.3533069,0,0.02491203,118.1243,132.0251,0.1619377,164.3556,359.9833
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_234.jpg,0,0.4767127,0,0.05323823,118.1222,132.0257,0.1889949,164.3837,359.9835
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_276.jpg,0,0.599737,0,0.04979153,118.1195,132.0265,0.223741,164.2454,359.9847
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_316.jpg,0,0.7238395,0,0.07396728,118.1161,132.0275,0.2727401,164.2698,359.9853
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_356.jpg,0,0.8439986,0,0.1038903,118.1108,132.0289,0.3585426,164.1878,359.9864
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_397.jpg,0,0.96644,0,0.133792,118.1042,132.0307,0.4625422,164.1489,-0.004549067
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_438.jpg,0,1,0,0.1667625,118.0963,132.0329,0.5802838,164.1862,0.001501598
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_478.jpg,0,1,0,0.2092029,118.0862,132.0359,0.7293224,164.0254,0.0004116323
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_519.jpg,0,1,0,0.2382645,118.0751,132.0392,0.8775982,163.9059,-0.0006623925
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_559.jpg,0,1,0,0.2816128,118.0619,132.043,1.050461,163.9052,-0.0009245254
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_599.jpg,0,1,0,0.2897483,118.048,132.047,1.207306,163.8105,0.0008073687
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_640.jpg,0,1,0,0.3307914,118.0336,132.0512,1.317416,163.845,-0.003010615
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_681.jpg,0,1,0,0.3890812,118.0189,132.0555,1.324434,163.7877,-0.002399531
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_722.jpg,0,1,0,0.4321583,118.0047,132.0596,1.211092,163.7498,-0.0007273107
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_763.jpg,0,1,0,0.460359,117.9889,132.0643,1.116948,163.6883,0.001031661
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_803.jpg,0,1,0,0.4927704,117.9711,132.0696,1.063595,163.6412,-0.0008144802
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_844.jpg,0,1,0,0.5251861,117.9518,132.0753,1.035485,163.6494,-0.0002722915
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_884.jpg,0,1,0,0.5439246,117.9313,132.0814,1.024412,163.7033,-0.001559613
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_925.jpg,0,1,0,0.5721135,117.9091,132.088,1.03976,163.6913,-0.0005166715
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_38_966.jpg,0,1,0,0.620039,117.8851,132.0951,1.082148,163.6224,-0.0003815448
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_39_006.jpg,0,1,0,0.6504498,117.8596,132.1026,1.142516,163.6562,-0.0005751309
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_39_047.jpg,0,1,0,0.6677238,117.8331,132.1105,1.202861,163.6067,-0.0001532861
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_39_087.jpg,0,1,0,0.6999654,117.8059,132.1186,1.242277,163.575,-0.001421067
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_39_127.jpg,0,1,0,0.7365611,117.778,132.1269,1.240391,163.5768,-0.002363853
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_39_168.jpg,0,0.9835777,0,0.7759138,117.7485,132.1357,1.233312,163.5651,-0.001156437
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_39_208.jpg,0,0.8661135,0,0.8172565,117.7178,132.1449,1.220734,163.516,-0.0004550046
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_39_248.jpg,0,0.7441218,0,0.8309195,117.6867,132.1543,1.188086,163.4754,-0.0007377123
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_39_289.jpg,0,0.6540512,0,0.8711445,117.6535,132.1642,1.190212,163.4676,-0.0006989111
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_39_329.jpg,0,0.7771481,0,0.8917708,117.6193,132.1745,1.199417,163.4656,-0.0007058518
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_39_370.jpg,0,0.8989649,0,0.9115789,117.5844,132.185,1.207549,163.4538,-0.0006827436
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_39_410.jpg,0,1,0,0.9384826,117.5488,132.1957,1.205104,163.4401,-0.001487709
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_39_451.jpg,0,1,0,0.9760528,117.5116,132.207,1.21223,163.4438,-0.001046854
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_39_492.jpg,0,1,0,1.00858,117.4535,132.2245,1.217586,163.4237,-0.0006294267
